itemID,itemName,itemMembers,itemTradeable,itemHighalch,itemBuyLimit
0,Dwarf remains,True,False,0,
1,Toolkit,True,False,0,
2,Cannonball,True,True,3,7000
3,Nulodion's notes,True,False,0,
4,Ammo mould,True,False,3,
5,Instruction manual,True,False,6,
6,Cannon base,True,True,112500,70
7,Cannon base,True,True,112500,
8,Cannon stand,True,True,112500,70
9,Cannon stand,True,True,112500,
10,Cannon barrels,True,True,112500,70
11,Cannon barrels,True,True,112500,
12,Cannon furnace,True,True,112500,70
13,Cannon furnace,True,True,112500,
14,Railing,True,False,0,
15,Holy table napkin,True,False,6,
16,Magic whistle,True,False,6,
17,Grail bell,True,False,6,
18,Magic gold feather,True,False,1,
19,Holy grail,True,False,1,
20,White cog,True,False,0,
21,Black cog,True,False,0,
22,Blue cog,True,False,0,
23,Red cog,True,False,0,
24,Rat poison,True,False,0,
25,Red vine worm,True,False,0,
26,Fishing trophy,True,False,0,
27,Fishing pass,True,False,0,
28,Insect repellent,True,True,1,15
29,Insect repellent,True,True,1,
30,Bucket of wax,True,True,3,15
31,Bucket of wax,True,True,3,
32,Lit black candle,True,False,1,
33,Lit candle,True,False,1,
35,Excalibur,True,False,120,
36,Candle,True,True,1,40
37,Candle,True,True,1,
38,Black candle,True,False,1,
39,Bronze arrowtips,True,True,0,10000
40,Iron arrowtips,True,True,1,10000
41,Steel arrowtips,True,True,3,10000
42,Mithril arrowtips,True,True,9,10000
43,Adamant arrowtips,True,True,24,10000
44,Rune arrowtips,True,True,120,10000
45,Opal bolt tips,True,True,4,11000
46,Pearl bolt tips,True,True,7,11000
47,Barb bolttips,True,True,57,11000
48,Longbow (u),True,True,36,10000
49,Longbow (u),True,True,36,
50,Shortbow (u),True,True,13,10000
51,Shortbow (u),True,True,13,
52,Arrow shaft,True,True,0,7000
53,Headless arrow,True,True,0,7000
54,Oak shortbow (u),True,True,30,10000
55,Oak shortbow (u),True,True,30,
56,Oak longbow (u),True,True,48,10000
57,Oak longbow (u),True,True,48,
58,Willow longbow (u),True,True,96,10000
59,Willow longbow (u),True,True,96,
60,Willow shortbow (u),True,True,60,10000
61,Willow shortbow (u),True,True,60,
62,Maple longbow (u),True,True,192,10000
63,Maple longbow (u),True,True,192,
64,Maple shortbow (u),True,True,120,10000
65,Maple shortbow (u),True,True,120,
66,Yew longbow (u),True,True,384,10000
67,Yew longbow (u),True,True,384,
68,Yew shortbow (u),True,True,240,10000
69,Yew shortbow (u),True,True,240,
70,Magic longbow (u),True,True,768,10000
71,Magic longbow (u),True,True,768,
72,Magic shortbow (u),True,True,480,10000
73,Magic shortbow (u),True,True,480,
74,Khazard helmet,True,False,6,
75,Khazard armour,True,False,7,
76,Khazard cell keys,True,False,0,
77,Khali brew,True,False,3,
78,Ice arrows,True,False,1,
83,Lever,True,False,9,
84,Staff of armadyl,True,False,9,
85,Shiny key,True,False,0,
86,Pendant of lucien,True,False,7,
87,Armadyl pendant,True,False,7,
88,Boots of lightness,True,False,3,
89,Boots of lightness,True,False,3,
90,Child's blanket,True,False,3,
91,Guam potion (unf),True,True,1,10000
92,Guam potion (unf),True,True,1,
93,Marrentill potion (unf),True,True,3,10000
94,Marrentill potion (unf),True,True,3,
95,Tarromin potion (unf),True,True,6,10000
96,Tarromin potion (unf),True,True,6,
97,Harralander potion (unf),True,True,12,10000
98,Harralander potion (unf),True,True,12,
99,Ranarr potion (unf),True,True,15,10000
100,Ranarr potion (unf),True,True,15,
101,Irit potion (unf),True,True,24,10000
102,Irit potion (unf),True,True,24,
103,Avantoe potion (unf),True,True,28,10000
104,Avantoe potion (unf),True,True,28,
105,Kwuarm potion (unf),True,True,32,10000
106,Kwuarm potion (unf),True,True,32,
107,Cadantine potion (unf),True,True,39,10000
108,Cadantine potion (unf),True,True,39,
109,Dwarf weed potion (unf),True,True,42,10000
110,Dwarf weed potion (unf),True,True,42,
111,Torstol potion (unf),True,True,15,10000
112,Torstol potion (unf),True,True,15,
113,Strength potion(4),False,True,8,2000
114,Strength potion(4),False,True,8,
115,Strength potion(3),False,True,7,2000
116,Strength potion(3),False,True,7,
117,Strength potion(2),False,True,7,2000
118,Strength potion(2),False,True,7,
119,Strength potion(1),False,True,6,2000
120,Strength potion(1),False,True,6,
121,Attack potion(3),True,True,7,2000
122,Attack potion(3),True,True,7,
123,Attack potion(2),True,True,5,2000
124,Attack potion(2),True,True,5,
125,Attack potion(1),True,True,3,2000
126,Attack potion(1),True,True,3,
127,Restore potion(3),True,True,52,2000
128,Restore potion(3),True,True,52,
129,Restore potion(2),True,True,39,2000
130,Restore potion(2),True,True,39,
131,Restore potion(1),True,True,26,2000
132,Restore potion(1),True,True,26,
133,Defence potion(3),True,True,72,2000
134,Defence potion(3),True,True,72,
135,Defence potion(2),True,True,54,2000
136,Defence potion(2),True,True,54,
137,Defence potion(1),True,True,36,2000
138,Defence potion(1),True,True,36,
139,Prayer potion(3),True,True,91,2000
140,Prayer potion(3),True,True,91,
141,Prayer potion(2),True,True,68,2000
142,Prayer potion(2),True,True,68,
143,Prayer potion(1),True,True,45,2000
144,Prayer potion(1),True,True,45,
145,Super attack(3),True,True,108,2000
146,Super attack(3),True,True,108,
147,Super attack(2),True,True,81,2000
148,Super attack(2),True,True,81,
149,Super attack(1),True,True,54,2000
150,Super attack(1),True,True,54,
151,Fishing potion(3),True,True,120,2000
152,Fishing potion(3),True,True,120,
153,Fishing potion(2),True,True,90,2000
154,Fishing potion(2),True,True,90,
155,Fishing potion(1),True,True,60,2000
156,Fishing potion(1),True,True,60,
157,Super strength(3),True,True,132,2000
158,Super strength(3),True,True,132,
159,Super strength(2),True,True,99,2000
160,Super strength(2),True,True,99,
161,Super strength(1),True,True,66,2000
162,Super strength(1),True,True,66,
163,Super defence(3),True,True,158,2000
164,Super defence(3),True,True,158,
165,Super defence(2),True,True,118,2000
166,Super defence(2),True,True,118,
167,Super defence(1),True,True,79,2000
168,Super defence(1),True,True,79,
169,Ranging potion(3),True,True,172,2000
170,Ranging potion(3),True,True,172,
171,Ranging potion(2),True,True,129,2000
172,Ranging potion(2),True,True,129,
173,Ranging potion(1),True,True,86,2000
174,Ranging potion(1),True,True,86,
175,Antipoison(3),False,True,172,2000
176,Antipoison(3),False,True,172,
177,Antipoison(2),False,True,129,2000
178,Antipoison(2),False,True,129,
179,Antipoison(1),False,True,86,2000
180,Antipoison(1),False,True,86,
181,Superantipoison(3),True,True,172,2000
182,Superantipoison(3),True,True,172,
183,Superantipoison(2),True,True,129,2000
184,Superantipoison(2),True,True,129,
185,Superantipoison(1),True,True,86,2000
186,Superantipoison(1),True,True,86,
187,Weapon poison,True,True,86,2000
188,Weapon poison,True,True,86,
189,Zamorak brew(3),True,True,105,2000
190,Zamorak brew(3),True,True,105,
191,Zamorak brew(2),True,True,90,2000
192,Zamorak brew(2),True,True,90,
193,Zamorak brew(1),True,True,75,2000
194,Zamorak brew(1),True,True,75,
195,Potion,False,True,0,
196,Potion,False,True,0,
197,Poison chalice,True,True,12,2000
198,Poison chalice,True,True,12,
199,Grimy guam leaf,True,True,7,13000
200,Grimy guam leaf,True,True,7,
201,Grimy marrentill,True,True,8,13000
202,Grimy marrentill,True,True,8,
203,Grimy tarromin,True,True,9,13000
204,Grimy tarromin,True,True,9,
205,Grimy harralander,True,True,9,13000
206,Grimy harralander,True,True,9,
207,Grimy ranarr weed,True,True,18,11000
208,Grimy ranarr weed,True,True,18,
209,Grimy irit leaf,True,True,10,13000
210,Grimy irit leaf,True,True,10,
211,Grimy avantoe,True,True,10,13000
212,Grimy avantoe,True,True,10,
213,Grimy kwuarm,True,True,12,13000
214,Grimy kwuarm,True,True,12,
215,Grimy cadantine,True,True,13,11000
216,Grimy cadantine,True,True,13,
217,Grimy dwarf weed,True,True,14,11000
218,Grimy dwarf weed,True,True,14,
219,Grimy torstol,True,True,15,11000
220,Grimy torstol,True,True,15,
221,Eye of newt,False,True,1,13000
222,Eye of newt,False,True,1,
223,Red spiders' eggs,False,True,4,13000
224,Red spiders' eggs,False,True,4,
225,Limpwurt root,False,True,4,13000
226,Limpwurt root,False,True,4,
227,Vial of water,False,True,1,13000
228,Vial of water,False,True,1,
229,Vial,False,True,1,13000
230,Vial,False,True,1,
231,Snape grass,True,True,6,13000
232,Snape grass,True,True,6,
233,Pestle and mortar,True,True,2,40
234,Pestle and mortar,True,True,2,
235,Unicorn horn dust,True,True,12,13000
236,Unicorn horn dust,True,True,12,
237,Unicorn horn,True,True,12,13000
238,Unicorn horn,True,True,12,
239,White berries,True,True,6,13000
240,White berries,True,True,6,
241,Dragon scale dust,True,True,31,13000
242,Dragon scale dust,True,True,31,
243,Blue dragon scale,True,True,30,13000
244,Blue dragon scale,True,True,30,
245,Wine of zamorak,False,True,0,11000
246,Wine of zamorak,False,True,0,
247,Jangerberries,True,True,0,13000
248,Jangerberries,True,True,0,
249,Guam leaf,True,True,1,13000
250,Guam leaf,True,True,1,
251,Marrentill,True,True,3,13000
252,Marrentill,True,True,3,
253,Tarromin,True,True,6,13000
